INSTNM,STABBR,IS_PUBLIC,Affordability_Score,Access_Score,Outcomes_Score,Overall_Score
Merritt College,CA,1,0.6840884220621994,0.8278874980303064,0.3787193622858228,0.6302317607927762
Brightpoint Community College,VA,1,0.7586269378184972,0.7615727490476656,0.3698554801714516,0.6300183890125381
California Career College,CA,0,0.653683861655598,0.7414318577861357,0.49485375500710754,0.6299898248162804
Essex County College,NJ,1,0.768072547009739,0.762899325231718,0.35868682088376325,0.62988623104174
Seward County Community College,KS,1,0.7813527617797174,0.7377848512183601,0.3704764274196025,0.6298713468058933
Gwinnett Technical College,GA,1,0.7270669841580659,0.7818633156542736,0.380489901060956,0.6298067336244318
Orange County Community College,NY,1,0.7292440876750995,0.7820169678949779,0.377950170874825,0.6297370754816342
Mission College,CA,1,0.7105767389942075,0.781141223344954,0.3970233208078946,0.6295804277156853
Pima Community College,AZ,1,0.8103247427899818,0.7123835315739376,0.36590323484876097,0.6295371697375601
CUNY Bernard M Baruch College,NY,1,0.7189844493749116,0.6509216832644266,0.5181517467868934,0.6293526264754105
Herzing University-Kenosha,WI,0,0.6803837643398878,0.84279606562883,0.36464391467693347,0.6292745815485504
Manna University,NC,0,0.7030028552018299,0.8751582688387307,0.3095318160913059,0.6292309800439555
American River College,CA,1,0.7246215587436527,0.7959223627542291,0.36688779985483816,0.6291439071175734
St Petersburg College,FL,1,0.7758117520347539,0.7378277539313689,0.3735867577797101,0.6290754212486109
Folsom Lake College,CA,1,0.7321996385638063,0.7814071776265494,0.37361752543615,0.6290747805421686
Jacksonville College-Main Campus,TX,0,0.727571416267663,0.7959546341495004,0.36331595464813193,0.628947335021765
Mott Community College,MI,1,0.7703234635263717,0.7706409250644581,0.34556301688230223,0.6288424684910441
Ohlone College,CA,1,0.6823151099203376,0.7978334551222155,0.4063710942462754,0.6288398864296094
Theatre of Arts,CA,0,0.6448179447245798,0.8737780904831312,0.367837401614961,0.6288111456075574
Saddleback College,CA,1,0.7316554593339628,0.7576819466048379,0.3968499031079606,0.6287291030155872
Pennsylvania State University-Penn State Lehigh Valley,PA,1,0.5973049005677249,0.8317916398795622,0.45690035743965596,0.628665632628981
